time_s,running_vehicle_count,loaded_vehicle_count,departed_vehicle_count,arrived_vehicle_count,mean_speed_mps,mean_waiting_time_s,mean_time_loss_s,halting_vehicle_count
1.0,0,0,0,0,0,0,0,0
2.0,5,834,5,0,21.086606600000003,0.0,0.0,0
3.0,10,0,5,0,21.25031477137026,0.0,0.016072561472486948,0
4.0,14,0,4,0,20.805072030678254,0.0,0.050366892791200886,0
5.0,18,0,4,0,22.562524857364977,0.0,0.08294723364950235,0
6.0,23,0,5,0,21.220720790198303,0.0,0.10750494636397337,0
7.0,25,0,2,0,20.72315637574036,0.0,0.1405478767338739,0
8.0,31,0,6,0,20.450700959423692,0.0,0.15547268224128366,0
9.0,35,0,4,0,19.364451746867974,0.0,0.17929236620636457,0
10.0,40,0,5,0,19.26666296689327,0.0,0.22986296470676543,0
11.0,48,0,8,0,20.11339459594912,0.0,0.270150015000521,0
12.0,51,0,3,0,20.018160012312304,0.0,0.32833341825498724,0
13.0,57,0,6,0,20.56911925282988,0.0,0.37328487984926745,0
14.0,62,0,5,0,20.64800166285086,0.0,0.4068143605848054,0
15.0,66,0,4,0,20.155306909429935,0.0,0.44837629279448893,0
16.0,71,0,5,0,20.247623889082462,0.0,0.4889112424052771,0
17.0,76,0,5,0,19.747791923486485,0.0,0.532638085012441,0
18.0,79,0,3,0,20.178665739511196,0.0,0.5928375563425272,0
19.0,81,0,2,0,20.224948568724095,0.0,0.6592637836850552,0
20.0,87,0,6,0,20.44281424391831,0.0,0.6890089272259696,0
21.0,88,0,1,0,20.31914621480505,0.0,0.771318506834379,0
22.0,91,0,3,0,20.130634970214658,0.01098901098901099,0.8362892234257631,1
23.0,92,0,1,0,19.895796110328916,0.021739130434782608,0.9354431436669077,1
24.0,94,0,2,0,19.647059693354326,0.05319148936170213,1.0299158810220312,3
25.0,94,0,0,0,19.685189338872245,0.0425531914893617,1.1527058147047897,2
26.0,98,0,4,0,19.767969806800085,0.04081632653061224,1.234253635472327,2
27.0,101,0,3,0,19.89724415797957,0.04950495049504951,1.3194730567063429,2
28.0,104,0,3,0,19.958674993175478,0.0673076923076923,1.4038177476666418,3
29.0,108,0,4,0,20.063680795864247,0.10185185185185185,1.4761764721843553,4
30.0,115,0,7,0,20.172268257109476,0.06956521739130435,1.5122316788944024,3
31.0,120,0,5,0,19.958421416849195,0.03333333333333333,1.573895705896978,2
32.0,125,0,5,0,19.867368329109787,0.056,1.6441842329842045,3
33.0,127,0,2,0,19.632794353078527,0.07086614173228346,1.756760214825445,3
34.0,130,0,3,0,19.468427750451475,0.1,1.8586600359621492,4
35.0,132,0,2,0,19.44205094552574,0.09848484848484848,1.969712271709596,4
36.0,135,0,3,0,19.600389732733092,0.11851851851851852,2.0721610340841496,4
37.0,139,0,4,0,19.43577504849492,0.15827338129496402,2.1551523111155446,6
38.0,142,0,3,0,19.53970545414893,0.18309859154929578,2.25578299932915,6
39.0,149,0,7,0,19.80579184294135,0.2080536912751678,2.2870400951691026,6
40.0,151,0,2,0,19.84881917863205,0.23841059602649006,2.401471701533562,6
41.0,153,0,2,0,19.891494311539276,0.2679738562091503,2.5118981578882233,6
42.0,157,0,4,0,19.766005428879556,0.3057324840764331,2.5886274821721647,7
43.0,164,0,7,0,19.576502205738464,0.2926829268292683,2.6151053272158795,6
44.0,167,0,3,0,19.437001562198173,0.32335329341317365,2.710288905405155,6
45.0,175,0,8,0,19.284905895522122,0.3657142857142857,2.7345750315083226,10
46.0,181,0,6,0,19.198510263709125,0.4088397790055249,2.796286255342279,11
47.0,187,0,6,0,19.171740287958038,0.47058823529411764,2.861737710896717,14
48.0,192,0,5,0,19.189759786898968,0.5364583333333334,2.9451325324644926,15
49.0,198,0,6,0,19.312275850079526,0.5505050505050505,3.0103822791045296,14
50.0,201,0,3,0,19.410163892663686,0.5970149253731343,3.121384788803874,14
51.0,207,0,6,0,19.329802292742198,0.6376811594202898,3.1851425947727354,15
52.0,212,0,5,0,19.42274297775233,0.6839622641509434,3.26364850769317,14
53.0,216,0,4,0,19.506467408036883,0.7407407407407407,3.3611718132697668,15
54.0,220,0,4,0,19.482289299582757,0.8,3.461858380413958,16
55.0,225,0,5,0,19.56046835524743,0.8577777777777778,3.5461395812014556,17
56.0,227,0,2,0,19.46393519081876,0.9251101321585903,3.685448853295852,17
57.0,231,0,4,0,19.259340401859756,0.9913419913419913,3.7970365046049124,19
58.0,237,0,6,0,19.180683079535132,1.0506329113924051,3.883341208473307,20
59.0,240,0,3,0,19.10978388033053,1.1333333333333333,4.020824092191541,23
60.0,244,0,4,0,18.985240996184714,1.2131147540983607,4.1394014898399725,24
61.0,248,0,4,0,18.878654742358616,1.2862903225806452,4.264016534791406,25
62.0,253,0,5,0,18.919707681358467,1.3675889328063242,4.37517093115237,27
63.0,258,0,5,0,18.82333603200085,1.445736434108527,4.4924501676760284,28
64.0,260,0,2,0,18.57644607574963,1.5538461538461539,4.673565595795318,31
65.0,263,0,3,0,18.495913007556137,1.6539923954372624,4.842702394184526,33
66.0,267,0,4,0,18.384755655567794,1.7752808988764044,5.005958602730947,39
67.0,270,0,3,0,18.172431417110587,1.8925925925925926,5.196872619782559,39
68.0,274,0,4,0,18.181652711049917,2.0145985401459856,5.372804040449964,42
69.0,282,0,8,0,18.078756409469264,2.1134751773049647,5.473779606233625,45
70.0,285,0,3,0,17.91453926547868,2.2350877192982455,5.674105561884921,45
71.0,290,0,5,0,17.848432877169053,2.3620689655172415,5.841741289742407,49
72.0,297,0,7,0,17.766110920966916,2.474747474747475,5.967104474585068,52
73.0,299,0,2,0,17.739938564743838,2.6153846153846154,6.1992462808192155,50
74.0,305,0,6,0,17.795758526294634,2.7442622950819673,6.349748960658433,55
75.0,312,0,7,0,17.740507338013096,2.8685897435897436,6.482842274725596,59
76.0,315,0,3,0,17.565269754416622,3.0253968253968253,6.703049681722904,61
77.0,321,0,6,0,17.554812841152977,3.177570093457944,6.861146802912871,67
78.0,327,0,6,0,17.568754389896494,3.311926605504587,7.01595255083002,65
79.0,330,0,3,0,17.429845922131587,3.4909090909090907,7.242224865115334,69
80.0,334,0,4,0,17.5704844510371,3.655688622754491,7.445352078381406,70
81.0,338,0,4,0,17.54246731362738,3.828402366863905,7.6507879049675775,73
82.0,344,0,6,0,17.502946200351406,3.9767441860465116,7.8154771229855955,74
83.0,348,0,4,0,17.527924199735985,4.117816091954023,8.022676448808182,74
84.0,358,0,10,0,17.554487792949445,4.217877094972067,8.09019737054572,77
85.0,363,0,5,0,17.477472342440528,4.380165289256198,8.274488023847825,80
86.0,369,0,6,0,17.360837597073694,4.533875338753387,8.435203664618898,83
87.0,374,0,5,0,17.3411896636415,4.7032085561497325,8.616016767895058,86
88.0,375,0,1,0,17.227117948070134,4.925333333333334,8.892418366189803,88
89.0,379,0,4,0,17.273659213816323,5.108179419525066,9.101865955730627,89
90.0,380,0,1,0,17.18372601835167,5.336842105263158,9.388191078344915,92
91.0,387,0,7,0,17.16587483578618,4.348837209302325,9.520418801135614,80
92.0,390,0,3,0,17.317687008664354,3.5589743589743588,9.744775805386322,69
93.0,393,0,3,0,17.370580481583477,2.9974554707379135,9.962209534044241,60
94.0,396,0,3,0,17.556986748427715,2.6161616161616164,10.167352094974186,52
95.0,401,0,5,0,17.692611655091213,2.3840399002493764,10.308181340103886,47
96.0,404,0,3,0,18.002129099788924,2.2797029702970297,10.485410138167234,44
97.0,408,0,4,0,18.229027044545823,2.176470588235294,10.623133935366198,42
98.0,413,0,5,0,18.326901538123536,2.128329297820823,10.727299123205508,40
99.0,416,0,3,0,18.437895682160097,2.081730769230769,10.880587131289609,36
100.0,419,0,3,0,18.464481197809526,2.1026252983293556,11.028793622753527,34
101.0,422,0,3,0,18.525181764827344,2.1516587677725116,11.171697293027794,34
102.0,426,0,4,0,18.64248783264782,2.204225352112676,11.280590974459939,35
103.0,429,0,3,0,18.793505945205986,2.268065268065268,11.410626911962527,36
104.0,431,0,2,0,18.85040741742086,2.3457076566125292,11.562470176782412,38
105.0,434,0,3,0,18.87555191275197,2.4193548387096775,11.684202185724507,39
106.0,437,0,3,0,18.921898328018482,2.494279176201373,11.805121692410069,40
107.0,443,0,6,0,19.001666626283242,2.55079006772009,11.841081791435766,40
108.0,446,0,3,0,19.095419917172933,2.625560538116592,11.951148607742642,41
109.0,450,0,4,0,19.055697216249104,2.6977777777777776,12.03304781527859,43
