time_s,running_vehicle_count,loaded_vehicle_count,departed_vehicle_count,arrived_vehicle_count,mean_speed_mps,mean_waiting_time_s,mean_time_loss_s,halting_vehicle_count
3865.0,7473,0,0,1,9.133919458777678,16.63762879700254,948.5689146034858,3408
3866.0,7469,0,0,4,9.09321161590837,16.865443834516,949.1180714254637,3430
3867.0,7469,0,1,1,9.056832975252226,17.134288392020352,949.705117149954,3461
3868.0,7469,0,3,3,9.010388819126657,17.425358147007632,949.9414962356949,3482
3869.0,7469,0,0,0,8.975186391777006,17.736243138304992,950.5872391065126,3499
3870.0,7467,0,0,2,8.936419080855597,18.011115575197536,951.4785289888191,3517
3871.0,7467,0,0,0,8.958357211835574,17.051694120798178,952.1246448468019,3314
3872.0,7466,0,0,1,9.012074666874469,16.40208947227431,952.8892262835499,3174
3873.0,7463,0,0,3,9.101330843196088,15.981776765375853,953.8184949185712,3071
3874.0,7463,0,0,0,9.22663757111591,15.470052257805172,954.4446540202156,2944
3875.0,7462,0,1,2,9.353331643319677,15.159742696328061,955.1803764127675,2885
3876.0,7463,0,1,0,9.491976928367096,14.897628299611416,955.6597184826581,2833
3877.0,7459,0,0,5,9.602251173866136,14.63748491754927,956.8083798055944,2766
3878.0,7459,0,0,0,9.719501684566227,14.430352594181526,957.3994849151484,2717
3879.0,7457,0,0,2,9.824326096729235,14.269008984846453,958.1377568144783,2684
3880.0,7453,0,0,4,9.905722670334267,14.177646585267677,958.7531834169235,2643
3881.0,7452,0,0,1,9.96253245812444,14.092592592592593,959.4550574230948,2627
3882.0,7449,0,1,4,10.0023371724607,13.955027520472546,959.8683004609668,2620
3883.0,7446,0,0,3,10.051181707237602,13.827961321514907,960.7562342205395,2604
3884.0,7445,0,0,1,10.075981525734615,13.659905977165883,961.2835511406649,2582
3885.0,7442,0,0,3,10.114904603793375,13.629400698736898,961.9784140308068,2580
3886.0,7440,0,0,2,10.141432207804597,13.590725806451612,962.4163545562319,2569
3887.0,7438,0,0,2,10.16303728702235,13.436407636461414,962.8048428165988,2527
3888.0,7435,0,0,3,10.17238191683118,13.338399462004036,963.5452802019945,2512
3889.0,7431,0,0,5,10.169994460634758,13.319068765980353,964.3108535370479,2506
3890.0,7426,0,0,5,10.175118419187323,13.19485591166173,964.7523353123242,2481
3891.0,7424,0,0,2,10.175416370475894,13.15301724137931,965.1811373620989,2471
3892.0,7420,0,0,4,10.16938074188856,13.138948787061995,965.9417196458079,2476
3893.0,7419,0,0,1,10.167432595978916,13.135732578514624,966.5007383468602,2467
3894.0,7416,0,0,2,10.151738178192952,13.14401294498382,967.1406209027023,2469
3895.0,7414,0,0,2,10.153605833762496,13.038980307526302,967.7877091123488,2467
3896.0,7414,0,1,1,10.164959193548164,12.92096034529269,968.3427125652972,2448
3897.0,7411,0,0,3,10.156200239105633,12.837133990014843,969.2537875544685,2463
3898.0,7411,0,0,0,10.15913762229047,12.71393873971124,969.8116796059137,2438
3899.0,7410,0,0,1,10.138322856357407,12.642240215924426,970.4957649469926,2452
3900.0,7407,0,0,3,10.114281260862327,12.587012285675712,971.142461634586,2472
3901.0,7406,0,0,1,10.092684997333151,12.552930056710775,971.7971757678733,2473
3902.0,7403,0,0,3,10.06574827281505,12.515601783060921,972.4437233301157,2508
3903.0,7402,0,0,1,10.046684811021725,12.451634693326127,972.9516442195186,2533
3904.0,7402,0,1,1,10.017007157316026,12.390570116184815,973.3167610231276,2539
3905.0,7400,0,1,3,9.97619225373051,12.307297297297298,973.9202642451716,2548
3906.0,7397,0,0,3,9.948955729364432,12.261186967689603,974.7817164758826,2567
3907.0,7394,0,0,3,9.907145272729355,12.226264538815256,975.4918485755244,2599
3908.0,7394,0,1,1,9.876365705450558,12.171355152826616,976.0128079045851,2613
3909.0,7393,0,0,2,9.841068304200762,12.021777356959285,976.6348591689547,2600
3910.0,7392,0,0,1,9.801279585492054,11.89650974025974,977.3008046114774,2636
3911.0,7388,0,0,4,9.753029656558846,11.8408229561451,977.798222913146,2647
3912.0,7384,0,0,4,9.705257211825002,11.713569880823401,978.6257900064174,2652
3913.0,7384,0,0,0,9.667633134667817,11.688244853737812,979.213779738629,2686
3914.0,7382,0,1,3,9.627552756952714,11.671904632890815,979.6682243793673,2701
3915.0,7381,0,1,2,9.59047244301524,11.587318791491668,980.2014367824279,2708
3916.0,7380,0,0,1,9.555405397359591,11.554742547425475,980.9266234346741,2723
3917.0,7378,0,0,2,9.533104571683804,11.479804825155869,981.4062194123505,2710
3918.0,7375,0,0,3,9.513418472485647,11.478372881355932,982.176241254985,2721
3919.0,7372,0,1,4,9.486551492191445,11.431361909929462,982.7745085311677,2748
3920.0,7368,0,0,4,9.472745760546369,11.395358306188925,983.2602618802292,2744
3921.0,7366,0,1,3,9.45851753730823,11.314281835460223,983.4010319546559,2752
3922.0,7365,0,1,2,9.433699728361741,11.235302104548541,984.0774710705762,2748
3923.0,7358,0,0,7,9.40061519804633,11.240554498505029,984.4053559135017,2772
3924.0,7359,0,2,1,9.381957236147343,11.205055034651448,984.7574142465162,2786
3925.0,7355,0,0,4,9.36927887988377,11.19320190346703,985.5771927988854,2795
3926.0,7353,0,0,2,9.347193235640056,11.21515027879777,986.3820043844056,2804
3927.0,7353,0,1,1,9.3203760712133,11.242078063375493,986.9553978152944,2824
3928.0,7351,0,0,2,9.288148680272002,11.333560059855802,987.5100214237648,2835
3929.0,7353,0,2,0,9.258255945502317,11.354957160342718,987.8520896636015,2857
3930.0,7352,0,0,1,9.247477786482216,11.417437431991296,988.547387966409,2884
3931.0,7352,0,1,1,9.22536026580852,11.511425462459195,989.128730316603,2916
3932.0,7351,0,0,1,9.212056025505726,11.5610121071963,989.6337779071982,2942
3933.0,7353,0,2,0,9.19723826048934,11.598259213926289,989.9799045377152,2959
3934.0,7353,0,2,2,9.18329192020447,11.656194750441996,990.3940553275488,2981
3935.0,7352,0,2,3,9.166424972717106,11.736806311207834,990.7734867022408,2980
3936.0,7350,0,0,2,9.149467161906692,11.816326530612244,991.1238695230966,2979
3937.0,7348,0,2,4,9.12531690879952,11.898067501360915,991.1263064214431,3002
3938.0,7348,0,2,2,9.104897987772214,11.985166031573216,991.3734774247665,3010
3939.0,7344,0,0,4,9.086021358229894,12.080201525054466,992.0952218820973,3028
3940.0,7341,0,1,4,9.054037641528705,12.210189347500341,992.1042311687786,3050
3941.0,7339,0,1,3,9.028947059862594,12.397738111459327,992.4237093722423,3063
3942.0,7339,0,1,1,9.001981721632589,12.575418994413408,992.8796899954549,3085
3943.0,7340,0,2,1,8.982058168686486,12.785558583106267,993.3489063472632,3110
3944.0,7339,0,1,2,8.953825108696153,12.93486851069628,993.6891172062757,3128
3945.0,7337,0,0,2,8.935555524598504,13.16001090363909,994.4583850052489,3155
3946.0,7338,0,3,2,8.913708641402833,13.306759334968657,994.6270880112285,3190
3947.0,7335,0,1,4,8.87885541318397,13.499250170415815,995.4095164765744,3213
3948.0,7332,0,0,3,8.851354453488728,13.731451172940535,996.2780130948059,3234
3949.0,7331,0,2,3,8.828380996638128,13.998363115536762,996.7126621427552,3276
3950.0,7327,0,0,4,8.79346092882142,14.297256721714207,997.5940944248192,3309
3951.0,7326,0,1,2,8.7649175854366,14.526617526617526,998.0918918256498,3330
3952.0,7319,0,0,7,8.74053654180872,14.77046044541604,998.8318485425419,3361
3953.0,7317,0,0,2,8.714884591153014,15.029246959136257,999.6903354990258,3383
3954.0,7314,0,1,4,8.698234965784255,15.284659557013946,1000.214554032339,3401
3955.0,7311,0,1,4,8.685479961236267,15.497332786212556,1000.6604448232015,3413
3956.0,7307,0,0,4,8.669814846249718,15.701108526070891,1000.8491639980127,3418
3957.0,7303,0,0,4,8.644670543980249,15.940435437491441,1001.6322317593114,3441
3958.0,7298,0,1,6,8.626690420169123,16.201425047958345,1001.8372608319665,3454
3959.0,7296,0,0,2,8.617865275323192,16.497532894736842,1002.1391717389862,3492
3960.0,7294,0,0,2,8.605386470788007,16.751028242391005,1003.066690279709,3501
3961.0,7293,0,0,1,8.647537901997394,15.787467434526258,1003.6425814081259,3297
3962.0,7294,0,1,0,8.721949651088785,15.174527008500137,1004.1540440508824,3155
3963.0,7294,0,1,1,8.819714149921158,14.680833561831642,1004.6339902398404,3044
3964.0,7293,0,0,1,8.926568168916749,14.248320307143837,1005.2475990596012,2945
3965.0,7292,0,0,1,9.042468804735334,13.928414701042238,1006.0083324828743,2872
3966.0,7291,0,0,1,9.161132515383155,13.629268961733644,1006.7608474834749,2831
3967.0,7290,0,0,1,9.273040265162326,13.38724279835391,1007.185186338092,2761
