time_s,running_vehicle_count,loaded_vehicle_count,departed_vehicle_count,arrived_vehicle_count,mean_speed_mps,mean_waiting_time_s,mean_time_loss_s,halting_vehicle_count
10930.0,1998,0,0,0,6.218306914366476,928.7692692692692,4640.944647037689,1106
10931.0,1997,0,0,1,6.1837078541652035,929.334501752629,4643.475432063469,1113
10932.0,1996,0,0,1,6.161007144096125,930.0771543086172,4643.167140598172,1121
10933.0,1996,0,0,0,6.145981482553287,930.1733466933867,4643.891948514103,1124
10934.0,1997,0,1,0,6.115236231701755,929.9614421632449,4642.292984185418,1127
10935.0,1997,0,0,0,6.086465756024824,930.1902854281423,4643.022062010371,1139
10936.0,1997,0,0,0,6.041939946314481,930.2959439158739,4643.753703194898,1138
10937.0,1996,0,0,1,5.991963299308908,930.7274549098196,4643.232903705824,1139
10938.0,1996,0,0,0,5.979211410238972,930.8226452905811,4643.968272840189,1145
10939.0,1995,0,0,1,5.950296869229672,931.2606516290726,4644.979036497857,1152
10940.0,1996,0,1,0,5.9242672629805675,930.9413827655311,4643.39100987484,1156
10941.0,1995,0,1,2,5.86439383799405,931.587969924812,4642.448983430094,1162
10942.0,1996,0,1,0,5.815780241840548,931.4554108216433,4640.867884339452,1171
10943.0,1996,0,0,0,5.769975673645133,931.8862725450902,4641.615267801571,1191
10944.0,1996,0,0,0,5.736734727568122,932.2865731462925,4642.364068283785,1201
10945.0,1997,0,1,0,5.685744774262535,932.1842764146219,4640.791868267012,1212
10946.0,1996,0,0,1,5.63912475085745,933.0966933867735,4640.225659451744,1236
10947.0,1996,0,0,0,5.618277119939391,933.4458917835672,4640.981819874069,1250
10948.0,1996,0,0,0,5.596065623590394,933.8211422845692,4641.739780748724,1248
10949.0,1997,0,1,0,5.57255718783637,933.743114672008,4640.173933755855,1254
10950.0,1998,0,1,0,5.538608980038746,933.6626626626627,4638.613503363582,1266
10951.0,1999,0,1,0,5.510550005761879,933.5287643821911,4637.056033294603,1273
10952.0,2000,0,1,0,5.475924074097661,933.4035,4635.502913107622,1275
10953.0,2000,0,0,0,5.464498480216477,933.808,4636.268708830131,1289
10954.0,1999,0,0,1,5.4214089876129785,934.6543271635818,4634.765034772258,1294
10955.0,1998,0,0,1,5.4002990615133974,935.5515515515516,4635.463308580771,1298
10956.0,1998,0,1,1,5.3769051102035075,935.9414414414415,4635.726482348033,1298
10957.0,1998,0,0,0,5.360287572382123,936.4409409409409,4636.501159304107,1306
10958.0,1998,0,0,0,5.334790509031789,936.9084084084084,4637.2778555606255,1316
10959.0,1999,0,1,0,5.307614015694298,936.8809404702351,4635.7357463447515,1330
10960.0,1999,0,0,0,5.301775241076124,937.3386693346673,4636.514875330681,1333
10961.0,1999,0,0,0,5.292382067660332,937.8284142071036,4637.29467314684,1339
10962.0,1999,0,1,1,5.275624477869668,938.3801900950475,4634.370492200921,1353
10963.0,1999,0,0,0,5.25558768967343,938.8844422211106,4635.154338698026,1352
10964.0,2001,0,2,0,5.242752782942156,938.5497251374313,4631.304768526119,1372
10965.0,2001,0,0,0,5.215389504635058,939.0784607696152,4632.092089914707,1373
10966.0,2001,0,0,0,5.194717429267967,939.6221889055472,4632.880011469354,1385
10967.0,2001,0,0,0,5.177682900344914,940.2048975512243,4633.669348811005,1385
10968.0,2001,0,0,0,5.172059625636664,940.735632183908,4634.46008597965,1387
10969.0,2000,0,0,1,5.159404495586375,941.844,4634.742874668044,1399
10970.0,2001,0,1,0,5.149480567720183,941.968015992004,4633.217946724358,1410
10971.0,1999,0,0,2,5.131354771881243,943.5212606303152,4637.565026867987,1414
10972.0,1999,0,0,0,5.108641785965589,944.0955477738869,4638.359160093338,1411
10973.0,1998,0,0,1,5.101593381238345,945.1516516516516,4637.583125688328,1407
10974.0,1997,0,0,1,5.075081688744304,946.3189784677015,4638.191713396556,1422
10975.0,1997,0,0,0,5.065720259189417,946.9288933400101,4638.989363799996,1430
10976.0,1997,0,0,0,5.058148489377656,947.5353029544317,4639.786921247842,1434
10977.0,1997,0,0,0,5.057748424791241,948.1707561342013,4640.585638520147,1442
10978.0,1996,0,0,1,5.05350340023909,949.3251503006012,4640.216493764049,1453
10979.0,1996,0,0,0,5.0488159522828395,949.9739478957916,4641.017004209955,1460
10980.0,1996,0,0,0,5.040144884278081,950.6212424849699,4641.818478249082,1456
10981.0,1995,0,0,1,5.08954395179414,950.0531328320802,4640.483118611551,1388
10982.0,1995,0,0,0,5.191127001646965,949.3794486215539,4641.273488994315,1342
10983.0,1994,0,0,1,5.30554140986239,949.3194583751254,4639.870738998859,1298
10984.0,1994,0,0,0,5.428967110120885,948.8781344032096,4640.644223600878,1276
10985.0,1994,0,0,0,5.562741706363358,948.6339017051154,4641.40868707561,1249
10986.0,1994,0,0,0,5.684780937568358,948.468405215647,4642.163919417273,1229
